,title,price,link
0,"Konex Lightweight Aluminium Composite Badminton Racquet with Free 3/4 Cover | for Beginner and Intermediate Players (Pack of 1, Red)  ",319.,"https://amazon,in//sspa/click?ie=UTF8&spc=MToyNzcxNzM3MTkwMjM2OTA0OjE3MjUxMDI3NjI6c3BfYXRmX25leHQ6MzAwMjgxNjUzNzQxMjMyOjowOjo&url=%2FLightWeight-Aluminium-Composite-Badminton-Intermediate%2Fdp%2FB0CSSPDG9C%2Fref%3Dsr_1_49_sspa%3Fcrid%3D1GPSDEWYB7GHK%26dib%3DeyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0%26dib_tag%3Dse%26keywords%3Dbadminton%2Brackets%26qid%3D1725102762%26sprefix%3Dbadmin%252Caps%252C240%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1"
1,"Woke XLS900 Badminton Racket Set Oval Aluminum Head Shape, high Tempered Steel Shape with Free 3 Birdie Feather Shuttlecocks,with String Tension, Suitable for All Ages Youth and Adults (RED)  ",499,"https://amazon,in//sspa/click?ie=UTF8&spc=MToyNzcxNzM3MTkwMjM2OTA0OjE3MjUxMDI3NjI6c3BfYXRmX25leHQ6MzAwMDU3MTQxOTQ5NDMyOjowOjo&url=%2FXLS900-Badminton-Aluminum-Tempered-Shuttlecocks%2Fdp%2FB0CHRNV9QH%2Fref%3Dsr_1_50_sspa%3Fcrid%3D1GPSDEWYB7GHK%26dib%3DeyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0%26dib_tag%3Dse%26keywords%3Dbadminton%2Brackets%26qid%3D1725102762%26sprefix%3Dbadmin%252Caps%252C240%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1"
2,YONEX Nanoray 7000I G4-2U Aluminum Badminton Racquet with Full Cover (Blue) Pack of 1  ,"1,499","https://amazon,in//Yonex-Nanoray-7000I-Badminton-Racquet/dp/B00RCNQOW6/ref=sr_1_59?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-59"
3,Yonex Badminton Racquet Arcsaber 73Light Aqua Blue G4 5U  ,"2,170","https://amazon,in//Yonex-Badminton-Racquet-Arcsaber-73Light/dp/B0CG6JVZZJ/ref=sr_1_60?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-60"
4,Li-Ning XP 2020 Special Edition Blend Strung Badminton Racquet with Free Head Cover  ,470,"https://amazon,in//Li-Ning-XP-2020-Special-AYPQ156-5/dp/B08BCSGLJ3/ref=sr_1_61?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-61"
5,HUNDRED Rock 78 Super Strong 36 LBS Max Tension Badminton Racket with Full Racket Cover  ,"1,499","https://amazon,in//HUNDRED-Strung-Strong-Tension-Badminton/dp/B0CPGN7SYH/ref=sr_1_62?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-62"
6,Li-Ning Super Series 900 Strung Badminton Racket with Free Full Cover  ,"1,499","https://amazon,in//Li-Ning-Super-Carbon-Strung-Racket/dp/B097Y7Z91K/ref=sr_1_63?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-63"
7,"Yonex ASTROX 77 Pro Badminton Racquet (Unstrung) (4UG5),Orange,Carbon Graphite  ","11,990","https://amazon,in//ASTROX-Badminton-Racquet-Unstrung-Graphite/dp/B0BGT7KQR5/ref=sr_1_64?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-64"
8,"YONEX Graphite Badminton Racquet Astrox 1DG (Blue, Black)  ","3,890","https://amazon,in//YONEX-Graphite-Badminton-Racquet-Astrox/dp/B08X4LMLS1/ref=sr_1_65?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-65"
9,"Apacs Z-Ziggler Reborn (Unstrung, 42 LBS High Tension) Max Energy & Power | Slim Shaft | Made in Vietnam | 100% Japanese Graphite Badminton Racket with Free Full Cover (Black)  ","3,299","https://amazon,in//Apacs-Z-Ziggler-Unstrung-Japanese-Badminton/dp/B0CSSVTX1V/ref=sr_1_66?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-66"
10,Li-Ning Ignite Series Carbon Fibre Superlite Speed Racket wuth Full Cover (Pearl White/Fire Red)  ,"3,255","https://amazon,in//Li-Ning-Ignite-Carbon-Superlite-Racket/dp/B0826D68SN/ref=sr_1_67?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-67"
11,Vector X VX-15 Graphite Frame Badminton Racquet with Shuttle for Seniors (Multicolor) - Set of 2  ,244.,"https://amazon,in//Vector-Graphite-Badminton-Racquet-Multicolour/dp/B08WH9M6F7/ref=sr_1_68?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-68"
12,"GILLX Badminton Rackets with 6 Nylon Shuttle Cocks (Black, Assorted) -4 Pieces  ",599,"https://amazon,in//sspa/click?ie=UTF8&spc=MToyNzcxNzM3MTkwMjM2OTA0OjE3MjUxMDI3NjI6c3BfYXRmX25leHQ6MjAxMjQxODkzNjE5OTg6OjA6Og&url=%2FGILLX-Badminton-Rackets-Shuttle-Assorted%2Fdp%2FB0B3RF26XF%2Fref%3Dsr_1_51_sspa%3Fcrid%3D1GPSDEWYB7GHK%26dib%3DeyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0%26dib_tag%3Dse%26keywords%3Dbadminton%2Brackets%26qid%3D1725102762%26sprefix%3Dbadmin%252Caps%252C240%26sr%3D8-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1"
13,Jaspo Kidzy Steel Badminton Racquet Set (Racket Length -18 Inches) with 6pc.Nylon Shuttlecock. (Multi)-Recommended for Kids only  ,426,"https://amazon,in//sspa/click?ie=UTF8&spc=MToyNzcxNzM3MTkwMjM2OTA0OjE3MjUxMDI3NjI6c3BfbXRmOjIwMTM0MDUwNDE5Njk4OjowOjo&url=%2FJaspo-Badminton-Racquet-6pc-Nylon-Shuttlecock%2Fdp%2FB0B9HD5JLM%2Fref%3Dsr_1_69_sspa%3Fcrid%3D1GPSDEWYB7GHK%26dib%3DeyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0%26dib_tag%3Dse%26keywords%3Dbadminton%2Brackets%26qid%3D1725102762%26sprefix%3Dbadmin%252Caps%252C240%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1"
14,Jaspo Kidzy Steel Badminton Racket Set (Racquet Length-18 inches) with 5pc. Feather Shuttlecock (Orange)-Recommended for Kids only  ,374,"https://amazon,in//sspa/click?ie=UTF8&spc=MToyNzcxNzM3MTkwMjM2OTA0OjE3MjUxMDI3NjI6c3BfbXRmOjIwMTM0MDUwNDE3NTk4OjowOjo&url=%2FBadminton-Racket-Feather-Shuttlecock-Orange%2Fdp%2FB09MW7XW4G%2Fref%3Dsr_1_70_sspa%3Fcrid%3D1GPSDEWYB7GHK%26dib%3DeyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0%26dib_tag%3Dse%26keywords%3Dbadminton%2Brackets%26qid%3D1725102762%26sprefix%3Dbadmin%252Caps%252C240%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1"
15,Jager-Smith PB 2000 Combo Aluminium Badminton Racquet with Tempered Steel Shaft & Featherlite 2 (Pack of 3) Feather Shuttles and Full Cover (Made in India)  ,486,"https://amazon,in//sspa/click?ie=UTF8&spc=MToyNzcxNzM3MTkwMjM2OTA0OjE3MjUxMDI3NjI6c3BfbXRmOjMwMDA0NzM4Mzg4NDIzMjo6MDo6&url=%2FJager-Smith-Featherlite-Feather-Shuttles-Yellow%2Fdp%2FB0BT82RZVF%2Fref%3Dsr_1_71_sspa%3Fcrid%3D1GPSDEWYB7GHK%26dib%3DeyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0%26dib_tag%3Dse%26keywords%3Dbadminton%2Brackets%26qid%3D1725102762%26sprefix%3Dbadmin%252Caps%252C240%26sr%3D8-71-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1"
16,"Badminton Rackets Set, 4 Wide Body Shuttle Bats with, 3 Shuttlecocks, Net, Lightweight, Ideal for Beginners  ",699,"https://amazon,in//sspa/click?ie=UTF8&spc=MToyNzcxNzM3MTkwMjM2OTA0OjE3MjUxMDI3NjI6c3BfbXRmOjMwMDIxNjM3MjcwMjQzMjo6MDo6&url=%2FBadminton-Rackets-Shuttlecocks-Lightweight-Beginners%2Fdp%2FB0D6VZ97MW%2Fref%3Dsr_1_72_sspa%3Fcrid%3D1GPSDEWYB7GHK%26dib%3DeyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0%26dib_tag%3Dse%26keywords%3Dbadminton%2Brackets%26qid%3D1725102762%26sprefix%3Dbadmin%252Caps%252C240%26sr%3D8-72-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1"
17,Vector X VXB-10 Aluminum Badminton Racket Pack of 3 Pieces Nylon Shuttles with Full-Cover Set  ,348,"https://amazon,in//Vector-Aluminum-Badminton-Shuttles-Full-Cover/dp/B0BH4WWQBM/ref=sr_1_73?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-73"
18,AB Fitness Heavy Duty Double Shaft Badminton Racket Set of 2 Piece. with 3 Piece Nylon Shuttles. Black  ,251,"https://amazon,in//AB-FITNESS-Double-Badminton-Shuttles/dp/B0C4Z8FCHT/ref=sr_1_74?crid=1GPSDEWYB7GHK&dib=eyJ2IjoiMSJ9.iJR2mnDH4j3eh3DysaudDVuU6StbPDPPw4qKHA5u0aII3nn_13QxNWqm3KukO3mds-ySvFMMjhzmF52gpEVG4Xwl_B4opSJoMQZClOz3S47RA2mED5IfTeN7row41VqmG3KTsGxCwyjhCzCy--mwUPW98vLMYSAnnpJ-hdUcwqa4w_0t5r52WKJfhVCcJQaqV6YEhBoqt9vRFEnc8J_HaDwyfZ1MoLrDunxN0jLt_SOiG_ORWYKet3Sv93SmN5XiSWwHsKuV9z9p2p_shYTMNTwkO17OineT2h0_YjD5a6Q.gVTrptoh-y1YxxevwD6fcobmFakFxrlsqx_TiBR3NY0&dib_tag=se&keywords=badminton+rackets&qid=1725102762&sprefix=badmin%2Caps%2C240&sr=8-74"
